COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
one,32519,34,55,325521,196,5,1,very_unsat,little,considering,STAY
zero,76223,70,43,892077,390,27,5,very_unsat,high,never_thought,STAY
one,54287,0,70,314462,317,1,2,unsat,little,no,STAY
one,81508,38,8,709486,288,3,4,unsat,little,perhaps,STAY
one,145109,49,21,758562,181,4,4,avg,high,actively_looking_into_it,STAY
one,41234,0,0,409205,218,0,10,very_unsat,avg,no,STAY
zero,35306,0,20,315634,155,0,5,very_unsat,little,considering,STAY
zero,45647,66,0,422685,172,3,10,very_unsat,very_high,considering,STAY
one,69031,0,20,298224,376,0,6,unsat,very_high,never_thought,STAY
zero,64719,0,0,576693,308,0,2,unsat,very_high,considering,LEAVE
one,60608,0,0,244017,314,4,13,very_unsat,very_high,considering,LEAVE
one,153634,150,68,692587,808,13,5,very_unsat,high,actively_looking_into_it,LEAVE
one,31295,51,6,903804,207,0,5,avg,little,never_thought,STAY
zero,70465,19,72,506311,360,5,2,very_sat,very_little,actively_looking_into_it,STAY
one,148377,224,23,942966,474,13,4,unsat,high,never_thought,LEAVE
zero,38063,195,44,205784,189,10,2,unsat,high,considering,STAY
zero,127989,42,0,772915,851,3,14,very_unsat,very_high,actively_looking_into_it,STAY
one,134135,37,0,529366,727,5,12,very_sat,very_high,considering,STAY
one,50171,195,18,758795,277,28,5,unsat,very_high,actively_looking_into_it,STAY
zero,140570,212,8,336662,851,28,5,very_unsat,little,actively_looking_into_it,LEAVE
one,56029,0,12,215921,257,4,6,sat,very_little,considering,STAY
zero,92174,72,0,285899,316,3,14,very_sat,very_high,actively_looking_into_it,STAY
one,34186,92,0,689590,191,4,6,very_unsat,very_high,considering,STAY
one,145429,0,49,809663,568,1,1,very_unsat,little,actively_looking_into_it,STAY
one,144840,76,12,174444,874,5,11,unsat,very_high,actively_looking_into_it,STAY
one,146534,0,88,539020,517,1,2,very_sat,very_high,no,LEAVE
one,90002,186,0,748534,344,3,9,very_unsat,very_high,considering,STAY
zero,31880,0,59,194938,145,0,2,very_unsat,high,actively_looking_into_it,STAY
one,32514,206,0,446730,187,26,14,unsat,little,never_thought,STAY
one,70358,66,6,183463,295,5,6,very_sat,little,perhaps,STAY
zero,142382,0,17,242631,606,0,6,unsat,avg,actively_looking_into_it,LEAVE
one,39297,0,8,258262,238,1,5,unsat,little,actively_looking_into_it,STAY
zero,83003,0,18,711774,321,0,6,avg,little,actively_looking_into_it,STAY
one,140070,0,16,242549,229,1,4,very_unsat,very_high,actively_looking_into_it,STAY
zero,122636,69,14,557941,132,3,6,very_unsat,little,no,STAY
zero,74119,0,10,939114,259,5,5,very_sat,very_little,considering,STAY
zero,75529,0,0,150334,348,0,10,very_sat,very_little,never_thought,STAY
zero,53898,77,88,451891,282,4,2,very_unsat,very_high,considering,STAY
zero,24892,61,30,844315,209,4,2,very_sat,very_little,considering,STAY
one,26227,0,10,270070,171,0,4,unsat,very_little,considering,STAY
zero,84442,198,69,895216,347,11,1,very_sat,very_high,considering,STAY
one,26318,58,33,396860,220,5,1,avg,very_high,no,STAY
zero,147869,0,7,675119,643,3,6,very_unsat,very_high,actively_looking_into_it,STAY
zero,126817,0,18,615627,475,1,6,very_sat,high,considering,STAY
one,134475,42,0,218545,525,4,14,avg,very_little,considering,LEAVE
one,135959,199,17,593945,744,1,6,very_unsat,very_high,considering,LEAVE
zero,117733,58,15,467443,633,4,6,avg,little,considering,STAY
one,60387,59,0,556946,290,4,10,very_unsat,very_little,no,LEAVE
one,146302,81,32,263346,815,5,8,very_unsat,very_high,considering,STAY
one,112406,61,21,795156,487,3,5,very_unsat,very_little,considering,LEAVE
one,42342,68,59,680512,231,5,2,sat,little,no,STAY
one,96723,66,26,409150,385,1,2,unsat,little,no,STAY
one,31831,0,17,224988,206,1,4,very_sat,little,considering,STAY
one,37767,0,6,259795,165,0,5,unsat,little,never_thought,STAY
one,32595,0,0,864838,210,0,15,very_sat,little,no,STAY
one,78072,46,10,346983,384,18,5,very_unsat,very_little,no,STAY
zero,24195,171,0,609413,240,14,11,very_unsat,very_high,actively_looking_into_it,STAY
one,23399,55,18,479536,883,4,4,very_sat,avg,considering,STAY
zero,130969,67,14,273003,412,5,5,avg,very_little,never_thought,STAY
one,118971,52,0,235969,488,3,11,unsat,very_little,never_thought,STAY
one,133450,63,0,981899,895,4,11,very_unsat,little,considering,STAY
one,135915,61,10,238658,871,4,6,very_unsat,high,no,LEAVE
zero,89954,181,10,190331,294,25,4,avg,very_high,considering,STAY
zero,130798,0,0,212296,625,0,10,very_unsat,high,considering,STAY
zero,154469,0,0,365612,793,0,8,very_unsat,very_high,actively_looking_into_it,STAY
zero,36235,0,76,590147,139,1,2,very_sat,little,actively_looking_into_it,STAY
one,61666,0,21,230357,279,0,4,sat,very_little,actively_looking_into_it,STAY
zero,29470,195,0,682291,234,28,12,very_unsat,very_high,considering,STAY
zero,28131,0,0,539487,189,1,10,unsat,very_little,no,LEAVE
zero,63366,181,73,756860,274,10,2,very_sat,very_high,actively_looking_into_it,STAY
zero,48252,198,0,989594,364,19,14,very_unsat,very_little,no,STAY
one,110907,0,13,978828,464,0,6,unsat,very_little,considering,STAY
one,158287,41,15,379334,498,4,5,very_unsat,little,considering,STAY
zero,145842,208,73,366639,636,28,1,very_unsat,very_high,no,STAY
one,51835,71,8,844656,397,5,5,very_sat,little,actively_looking_into_it,STAY
one,56350,210,0,699083,796,16,11,very_unsat,little,never_thought,STAY
one,101119,43,41,464624,867,5,2,sat,very_little,actively_looking_into_it,STAY
one,34210,82,11,966271,249,3,5,very_unsat,little,considering,STAY
one,41588,219,41,395289,240,22,1,sat,little,actively_looking_into_it,STAY
one,75707,78,24,598602,611,5,15,very_unsat,very_high,perhaps,STAY
zero,95176,78,0,268489,326,5,10,very_unsat,very_high,never_thought,STAY
one,57467,242,6,212802,304,29,5,unsat,little,no,LEAVE
one,132929,196,66,358159,662,26,1,very_unsat,high,no,LEAVE
one,50987,0,9,380524,322,1,4,very_unsat,very_high,actively_looking_into_it,STAY
zero,91644,70,7,746242,264,4,6,avg,high,actively_looking_into_it,STAY
one,89261,0,40,276420,343,1,1,very_unsat,very_high,actively_looking_into_it,STAY
one,46325,65,10,921185,200,5,6,very_unsat,very_high,considering,STAY
one,51814,200,0,912385,293,10,14,very_unsat,little,no,STAY
one,65178,0,13,179579,280,0,5,very_sat,high,no,STAY
one,21888,212,0,833183,137,14,15,unsat,high,perhaps,STAY
zero,82354,0,5,225868,289,1,5,very_unsat,little,never_thought,STAY
one,91112,167,0,267380,399,16,9,very_unsat,little,actively_looking_into_it,LEAVE
zero,159636,0,15,525488,753,1,4,very_sat,avg,considering,STAY
one,32002,0,12,457944,192,1,6,very_unsat,avg,considering,LEAVE
one,37146,217,24,943259,131,26,6,unsat,avg,no,STAY
one,28468,0,0,785207,190,1,14,very_unsat,little,never_thought,STAY
one,44757,50,0,240994,155,3,9,very_unsat,very_little,actively_looking_into_it,STAY
one,57659,207,67,242754,333,25,2,very_unsat,high,considering,LEAVE
zero,31554,0,14,211630,172,12,6,unsat,very_high,considering,LEAVE
one,80829,58,0,640391,389,3,14,very_sat,little,considering,STAY
one,154433,142,16,278166,760,21,5,unsat,little,considering,STAY
zero,49451,61,9,180276,224,5,5,unsat,very_little,actively_looking_into_it,LEAVE
one,73343,199,0,624067,311,22,9,very_sat,very_high,considering,STAY
zero,39100,62,0,611734,177,3,13,very_sat,little,considering,STAY
zero,51919,191,61,986348,355,21,1,avg,very_little,no,STAY
one,48344,0,0,224904,240,0,13,unsat,little,considering,LEAVE
one,23010,236,7,546532,140,14,5,very_unsat,little,actively_looking_into_it,LEAVE
zero,113659,83,82,262152,849,5,11,very_unsat,little,actively_looking_into_it,STAY
zero,144975,185,0,222000,835,28,9,very_unsat,little,no,STAY
zero,24868,0,80,325273,201,1,1,very_sat,little,actively_looking_into_it,LEAVE
zero,31713,244,65,407332,208,16,2,avg,little,considering,STAY
one,118690,62,0,251313,820,5,9,sat,little,actively_looking_into_it,STAY
one,41661,74,6,911879,226,3,5,very_sat,very_high,never_thought,STAY
zero,112219,192,0,992777,655,16,9,unsat,avg,considering,LEAVE
zero,142895,57,37,153394,666,5,2,very_sat,very_high,actively_looking_into_it,STAY
one,66929,0,19,385643,307,0,4,unsat,little,no,LEAVE
