Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
The Legend of Zelda: Twilight Princess,Wii,Action,T,95,73,89,1658,7.15
Super Smash Bros. Melee,GC,Fighting,T,92,38,90,568,7.07
Medal of Honor: Frontline,PS2,Shooter,T,88,29,84,135,6.83
Uncharted 3: Drake's Deception,PS3,Action,T,92,97,82,3712,6.74
Uncharted 2: Among Thieves,PS3,Action,T,96,105,87,5187,6.66
World of Warcraft,PC,Role-Playing,T,93,57,72,2182,6.29
Driver,PS,Action,T,87,22,80,78,6.27
Final Fantasy XII,PS2,Role-Playing,T,92,64,75,972,5.95
Tekken 2,PS,Fighting,T,89,8,88,102,5.74
Destiny,PS4,Shooter,T,76,95,60,5380,5.64
Monster Hunter Freedom Unite,PSP,Role-Playing,T,81,48,86,124,5.48
Batman: Arkham City,PS3,Action,T,96,42,85,2162,5.48
Uncharted 4: A Thief's End,PS4,Shooter,T,93,113,78,7064,5.38
Final Fantasy XIII,PS3,Role-Playing,T,83,83,72,2483,5.33
Final Fantasy IX,PS,Role-Playing,T,94,22,88,779,5.3
Final Fantasy X-2,PS2,Role-Playing,T,85,45,65,400,5.29
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,T,89,63,87,245,5.21
Medal of Honor: Rising Sun,PS2,Shooter,T,68,30,75,100,5.13
Guitar Hero II,PS2,Misc,T,92,69,84,112,5.12
Tony Hawk's Pro Skater,PS,Sports,T,92,18,91,69,5.02
Guitar Hero III: Legends of Rock,PS2,Misc,T,82,24,81,46,4.98
Link's Crossbow Training,Wii,Shooter,T,68,34,70,47,4.98
Uncharted: Drake's Fortune,PS3,Action,T,88,66,80,2306,4.92
StarCraft II: Wings of Liberty,PC,Strategy,T,93,82,81,3052,4.84
Driver 2,PS,Action,T,62,14,76,92,4.73
Batman: Arkham City,X360,Action,T,94,87,86,1472,4.73
Tony Hawk's Pro Skater 2,PS,Sports,T,98,19,76,299,4.68
The Lord of the Rings: The Two Towers,PS2,Action,T,82,32,81,78,4.67
Tomb Raider,PS,Action,T,91,13,85,147,4.63
Uncharted: The Nathan Drake Collection,PS4,Action,T,86,78,80,1264,4.62
Guitar Hero III: Legends of Rock,Wii,Misc,T,86,36,83,87,4.6
Guitar Hero III: Legends of Rock,X360,Misc,T,85,69,78,165,4.53
Halo 5: Guardians,XOne,Shooter,T,84,101,63,2438,4.48
Tony Hawk's Pro Skater 3,PS2,Sports,T,97,34,74,298,4.41
Need for Speed: Most Wanted,PS2,Racing,T,82,36,90,137,4.37
Batman: Arkham Asylum,PS3,Action,T,91,70,88,1122,4.23
Street Fighter IV,PS3,Fighting,T,94,61,72,330,4.16
World of Warcraft: The Burning Crusade,PC,Role-Playing,T,91,46,78,785,4.09
Tekken Tag Tournament,PS2,Fighting,T,85,25,84,117,4.05
Tony Hawk's Underground,PS2,Sports,T,90,38,86,121,3.9
Monster Hunter 4 Ultimate,3DS,Role-Playing,T,86,80,86,348,3.89
Tekken 5,PS2,Fighting,T,88,62,85,229,3.87
MotorStorm,PS3,Racing,T,84,9,73,220,3.87
The Sims: Unleashed,PC,Simulation,T,79,21,79,29,3.76
Tony Hawk's Pro Skater 4,PS2,Sports,T,94,27,84,128,3.67
Guitar Hero: World Tour,Wii,Misc,T,86,18,75,71,3.62
Star Wars: Battlefront,PS2,Shooter,T,82,36,86,142,3.61
The Simpsons: Road Rage,PS2,Racing,T,64,23,76,32,3.61
Star Wars: Battlefront II,PS2,Shooter,T,84,30,89,268,3.59
James Bond 007: Agent Under Fire,PS2,Shooter,T,72,27,78,48,3.53
Batman: Arkham Asylum,X360,Action,T,92,78,86,1080,3.48
Tekken 4,PS2,Fighting,T,79,23,82,126,3.44
Grand Theft Auto 2,PS,Action,T,70,15,79,67,3.42
Spider-Man 2,PS2,Action,T,80,50,88,106,3.41
Destiny,XOne,Shooter,T,75,11,54,1735,3.37
James Bond 007: Nightfire,PS2,Shooter,T,77,20,84,66,3.33
Star Wars Episode III: Revenge of the Sith,PS2,Action,T,60,34,71,82,3.32
The Lord of the Rings: The Return of the King,PS2,Action,T,85,31,86,105,3.28
Enter the Matrix,PS2,Action,T,62,30,80,137,3.18
Crisis Core: Final Fantasy VII,PSP,Role-Playing,T,83,67,79,463,3.18
Dance Central,X360,Misc,T,82,63,75,85,3.17
Dragon Ball Z: Budokai,PS2,Fighting,T,67,28,78,71,3.09
The Sims: Vacation,PC,Simulation,T,75,18,77,22,3.07
The Sims 4,PC,Simulation,T,70,74,38,2057,3.05
Tom Clancy's Splinter Cell,XB,Action,T,93,46,84,121,3.02
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,T,73,24,91,173,3
The Sims: Livin Large,PC,Misc,T,82,23,65,20,2.99
Star Wars: The Old Republic,PC,Role-Playing,T,85,73,58,2748,2.96
Street Fighter IV,X360,Fighting,T,93,77,72,292,2.94
inFAMOUS,PS3,Action,T,85,98,82,1172,2.93
Call of Duty: Finest Hour,PS2,Shooter,T,76,49,76,69,2.89
The Elder Scrolls III: Morrowind,XB,Role-Playing,T,87,34,86,111,2.86
Metroid Prime,GC,Shooter,T,97,70,92,747,2.82
inFAMOUS: Second Son,PS4,Action,T,80,90,78,2944,2.79
Jak II,PS2,Platform,T,87,47,81,241,2.78
The Sims,PS2,Simulation,T,83,33,76,46,2.77
Star Wars: The Force Unleashed,X360,Action,T,73,74,66,389,2.77
Tekken 6,PS3,Fighting,T,79,63,73,211,2.75
Call of Duty 3,X360,Shooter,T,82,71,64,233,2.7
Burnout 3: Takedown,PS2,Racing,T,93,52,90,271,2.68
Call Of Duty 2: Big Red One,PS2,Shooter,T,77,39,81,69,2.67
Medal of Honor,PS,Shooter,T,92,17,85,80,2.67
Guitar Hero: World Tour,X360,Misc,T,85,67,62,171,2.66
Tom Clancy's Splinter Cell,PS2,Action,T,89,24,76,102,2.65
Medal of Honor Heroes,PSP,Shooter,T,71,24,78,47,2.65
Final Fantasy XIII-2,PS3,Role-Playing,T,79,53,65,707,2.63
